,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lddt,tm-score-ost
normalized_rp08.pdb,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-45100.5,566595.0,-0.08,0.0,0.0,0.0,2.889,-82946.558,-13206.294,1.0,1.0
normalized_8_Das_3_rpr.pdb,4.801,0.0,0.85,0.985,0.577,0.816,5.651,17.67,0.58,0.586,0.271,0.448,0.677,0.948,0.799,-44393.9,501916.0,-0.088,0.0,0.473,1.151,2.736,-71865.312,-10940.105,0.654,0.596
normalized_8_Das_1_rpr.pdb,6.377,0.0,0.847,0.97,0.544,0.824,7.526,16.59,0.578,0.583,0.344,0.5,0.667,0.823,0.806,-45147.8,521269.0,-0.087,0.0,0.64,1.14,2.756,-73561.565,-11722.195,0.675,0.591
normalized_8_Bujnicki_7_rpr.pdb,6.709,0.0,0.751,0.906,0.289,0.711,8.931,20.45,0.5,0.526,0.229,0.427,0.552,0.896,0.768,-42642.7,536958.0,-0.079,0.0,0.667,1.292,2.343,-75863.922,-9858.723,0.642,0.535
normalized_8_Bujnicki_9_rpr.pdb,6.815,0.0,0.751,0.839,0.5,0.735,9.071,18.02,0.482,0.531,0.292,0.406,0.615,0.812,0.777,-43467.2,567367.0,-0.077,0.0,0.682,1.255,2.691,-79734.107,-10933.731,0.625,0.507
normalized_8_Das_2_rpr.pdb,10.653,0.0,0.856,0.985,0.544,0.832,12.443,16.72,0.565,0.57,0.312,0.51,0.698,0.76,0.786,-45524.7,551153.0,-0.083,0.0,1.13,1.104,2.887,-76122.324,-12052.593,0.666,0.577
normalized_8_Das_6_rpr.pdb,10.772,0.0,0.827,0.954,0.577,0.795,13.031,20.24,0.534,0.536,0.302,0.479,0.625,0.74,0.787,-39166.9,549043.0,-0.071,0.0,1.121,1.168,2.487,-72158.256,-10999.785,0.635,0.55
normalized_8_Das_4_rpr.pdb,10.782,0.0,0.827,0.969,0.516,0.8,13.042,19.02,0.553,0.557,0.344,0.5,0.646,0.74,0.782,-39658.1,542906.0,-0.073,0.0,1.12,1.187,2.602,-72026.48,-11125.785,0.638,0.577
normalized_8_Bujnicki_10_rpr.pdb,10.799,0.0,0.715,0.844,0.408,0.68,15.103,,0.454,0.466,0.302,0.406,0.479,0.677,0.735,-43486.2,557522.0,-0.078,0.0,1.13,1.409,2.762,-79859.716,-10400.963,0.445,0.511
normalized_8_Das_5_rpr.pdb,10.804,0.0,0.811,0.954,0.492,0.786,13.328,18.86,0.556,0.557,0.333,0.51,0.656,0.729,0.792,-39621.4,562865.0,-0.07,0.0,1.162,1.178,2.625,-74119.085,-11654.906,0.637,0.579
normalized_8_Bujnicki_5_rpr.pdb,11.03,0.0,0.783,0.884,0.612,0.75,14.089,16.44,0.502,0.495,0.25,0.396,0.604,0.729,0.779,-42858.7,573506.0,-0.075,0.0,1.157,1.232,2.768,-81051.94,-10804.25,0.595,0.521
normalized_8_Chen_3_rpr.pdb,11.285,0.0,0.762,0.906,0.289,0.724,14.818,22.75,0.283,0.32,0.167,0.219,0.312,0.583,0.752,-33540.0,527657.0,-0.064,0.0,1.139,1.323,2.155,-68808.854,-8736.604,0.445,0.33
normalized_8_Chen_9_rpr.pdb,11.3,0.0,0.65,0.835,0.408,0.595,17.398,31.03,0.28,0.299,0.115,0.208,0.292,0.583,0.714,-28315.3,511995.0,-0.055,0.0,1.134,1.546,1.354,-63765.595,-8911.496,0.416,0.335
normalized_8_Bujnicki_3_rpr.pdb,11.311,0.0,0.784,0.906,0.617,0.747,14.423,17.23,0.5,0.497,0.271,0.427,0.573,0.719,0.769,-45156.8,550848.0,-0.082,0.0,1.203,1.309,2.658,-80804.103,-11163.346,0.546,0.501
normalized_8_Ding_3_rpr.pdb,11.328,0.0,0.711,0.936,0.0,0.658,15.929,21.36,0.353,0.354,0.104,0.25,0.438,0.625,0.707,-37470.7,483135.0,-0.078,0.0,1.162,1.447,1.87,-68816.35,-6518.109,0.436,0.389
normalized_8_Ding_10_rpr.pdb,11.332,0.0,0.751,0.952,,0.687,15.084,19.97,0.355,0.362,0.094,0.188,0.438,0.729,0.71,-35094.1,486477.0,-0.072,0.0,1.206,1.404,1.727,-67967.07,-7038.536,0.486,0.399
normalized_8_Bujnicki_8_rpr.pdb,11.478,0.0,0.788,0.892,0.612,0.757,14.562,17.92,0.436,0.451,0.26,0.375,0.469,0.698,0.783,-43384.1,576948.0,-0.075,0.0,1.202,1.246,2.76,-81129.929,-11403.747,0.615,0.471
normalized_8_Chen_5_rpr.pdb,11.671,0.0,0.741,0.923,0.236,0.688,15.756,21.87,0.315,0.307,0.177,0.219,0.323,0.51,0.748,-36383.2,510820.0,-0.071,0.0,1.183,1.326,2.198,-68737.547,-8860.246,0.488,0.327
normalized_8_Chen_6_rpr.pdb,11.765,0.0,0.691,0.871,0.5,0.623,17.024,31.04,0.254,0.253,0.094,0.156,0.292,0.469,0.711,-29454.1,502507.0,-0.059,0.0,1.182,1.492,1.314,-64318.236,-8514.648,0.436,0.319
normalized_8_Bujnicki_6_rpr.pdb,11.782,0.0,0.761,0.879,0.5,0.73,15.48,16.3,0.527,0.521,0.26,0.438,0.646,0.74,0.768,-43606.9,580456.0,-0.075,0.0,1.265,1.297,2.831,-81510.077,-11357.389,0.606,0.524
normalized_8_Bujnicki_2_rpr.pdb,11.84,0.0,0.811,0.923,0.471,0.784,14.602,17.15,0.504,0.492,0.26,0.417,0.594,0.698,0.78,-43995.2,537126.0,-0.082,0.0,1.265,1.185,2.779,-78191.716,-11334.175,0.594,0.512
normalized_8_Ding_1_rpr.pdb,12.09,0.0,0.695,0.921,,0.616,17.395,21.78,0.32,0.326,0.094,0.177,0.385,0.646,0.706,-34419.3,512763.0,-0.067,0.0,1.265,1.44,1.791,-69515.198,-7209.718,0.452,0.383
normalized_8_Chen_10_rpr.pdb,12.152,0.0,0.745,0.906,0.236,0.703,16.322,23.26,0.301,0.302,0.177,0.219,0.323,0.49,0.765,-32809.9,530626.0,-0.062,0.0,1.238,1.33,2.136,-69901.479,-9188.435,0.502,0.321
normalized_8_Bujnicki_4_rpr.pdb,12.165,0.0,0.825,0.938,0.548,0.797,14.744,15.9,0.511,0.5,0.271,0.427,0.604,0.698,0.777,-45417.8,520038.0,-0.087,0.0,1.295,1.166,2.759,-77580.128,-10879.225,0.577,0.505
normalized_8_Bujnicki_1_rpr.pdb,12.265,0.0,0.783,0.896,0.73,0.737,15.667,16.91,0.527,0.523,0.271,0.438,0.635,0.75,0.764,-44871.6,542701.0,-0.083,0.0,1.311,1.244,2.786,-78850.735,-11211.278,0.574,0.526
normalized_8_Ding_5_rpr.pdb,12.388,0.0,0.744,0.935,0.0,0.699,16.655,21.0,0.382,0.388,0.094,0.271,0.479,0.708,0.704,-33304.2,504626.0,-0.066,0.0,1.318,1.388,1.845,-67400.938,-6665.596,0.42,0.441
normalized_8_Ding_7_rpr.pdb,12.484,0.0,0.737,0.968,,0.66,16.937,19.87,0.298,0.326,0.094,0.208,0.396,0.604,0.728,-37812.3,528491.0,-0.072,0.0,1.332,1.373,1.873,-72555.167,-8070.428,0.499,0.352
normalized_8_Chen_2_rpr.pdb,12.793,0.0,0.751,0.892,0.236,0.719,17.046,21.93,0.285,0.273,0.167,0.219,0.271,0.438,0.751,-32703.7,523334.0,-0.062,0.0,1.301,1.314,2.168,-68959.949,-8929.13,0.503,0.284
normalized_8_Chen_7_rpr.pdb,12.8,0.0,0.696,0.857,0.236,0.651,18.4,23.83,0.272,0.276,0.156,0.219,0.281,0.448,0.713,-27849.1,526031.0,-0.053,0.0,1.288,1.421,2.018,-66043.078,-8131.776,0.416,0.295
normalized_8_Chen_4_rpr.pdb,12.883,0.0,0.72,0.906,0.236,0.664,17.904,23.01,0.298,0.297,0.167,0.219,0.312,0.49,0.742,-33854.6,530355.0,-0.064,0.0,1.305,1.37,2.115,-69652.149,-9208.571,0.5,0.326
normalized_8_Chen_1_rpr.pdb,13.08,0.0,0.792,0.923,0.471,0.753,16.51,23.85,0.305,0.305,0.167,0.219,0.323,0.51,0.746,-30194.9,524986.0,-0.058,0.0,1.33,1.285,2.067,-67208.041,-8356.107,0.437,0.335
normalized_8_Ding_2_rpr.pdb,13.5,0.0,0.733,0.921,0.0,0.687,18.417,22.41,0.389,0.365,0.083,0.26,0.458,0.656,0.712,-31139.8,471798.0,-0.066,0.0,1.423,1.462,1.678,-65837.275,-5855.142,0.422,0.437
normalized_8_Ding_6_rpr.pdb,13.531,0.0,0.739,0.936,0.0,0.685,18.314,20.87,0.278,0.31,0.104,0.167,0.333,0.635,0.704,-39430.2,483337.0,-0.082,0.0,1.464,1.428,1.904,-70001.242,-7510.778,0.467,0.372
normalized_8_Adamiak_1_rpr.pdb,13.902,5.551115123125783e-17,0.778,0.906,0.612,0.733,17.862,21.74,0.219,0.219,0.115,0.146,0.26,0.354,0.712,-42936.2,537938.0,-0.08,0.0,1.462,1.437,2.106,-76178.055,-11188.565,0.478,0.251
normalized_8_Adamiak_2_rpr.pdb,14.459,5.551115123125784e-16,0.753,0.906,0.548,0.7,19.213,21.88,0.209,0.227,0.135,0.146,0.24,0.385,0.703,-42716.6,521100.0,-0.082,0.0,1.512,1.423,2.23,-74412.141,-10417.285,0.469,0.26
normalized_8_Ding_8_rpr.pdb,14.986,5.773159728050814e-15,0.707,0.921,0.0,0.652,21.191,20.56,0.26,0.276,0.094,0.146,0.323,0.542,0.705,-36114.4,482151.0,-0.075,0.0,1.575,1.398,1.839,-67593.203,-7185.452,0.468,0.339
normalized_8_Ding_4_rpr.pdb,15.173,1.3045120539345591e-14,0.766,0.953,0.0,0.723,19.812,20.53,0.285,0.292,0.083,0.156,0.323,0.604,0.724,-34903.1,494256.0,-0.071,0.0,1.588,1.352,1.722,-68954.323,-7028.407,0.462,0.358
normalized_8_Chen_8_rpr.pdb,15.809,1.891820033961267e-13,0.674,0.849,0.365,0.625,23.471,28.7,0.268,0.258,0.115,0.188,0.281,0.448,0.729,-31682.0,504551.0,-0.063,0.0,1.596,1.493,1.619,-65256.665,-8542.895,0.424,0.293
normalized_8_Ding_9_rpr.pdb,16.22,9.98368054894172e-13,0.705,0.954,0.0,0.655,22.992,21.07,0.272,0.276,0.094,0.135,0.312,0.562,0.707,-34490.4,497851.0,-0.069,0.0,1.706,1.467,1.758,-68414.687,-6901.24,0.45,0.31
normalized_8_Dokholyan_2_rpr.pdb,18.62,5.931625746136149e-09,0.542,0.699,0.0,0.492,34.342,24.93,0.237,0.245,0.083,0.156,0.333,0.406,0.645,-24155.6,408370.0,-0.059,0.0,1.87,1.71,1.479,-55791.13,-4303.112,0.36,0.256
normalized_8_Dokholyan_1_rpr.pdb,23.687,0.0019473283596772,0.605,0.667,0.289,0.596,39.172,23.38,0.185,0.201,0.073,0.156,0.229,0.344,0.672,-28543.1,401622.0,-0.071,0.0,2.456,1.597,1.752,-56380.865,-4683.19,0.373,0.22
normalized_8_Dokholyan_3_rpr.pdb,24.753,0.0108820275916563,0.567,0.689,,0.531,43.627,23.16,0.155,0.174,0.062,0.094,0.188,0.354,0.644,-25136.6,399129.0,-0.063,0.0,2.573,1.667,1.625,-55011.621,-4405.187,0.335,0.212
normalized_8_Dokholyan_4_rpr.pdb,31.294,0.9098608001951536,0.388,0.29,0.0,0.465,80.559,24.31,0.138,0.151,0.083,0.115,0.156,0.25,0.6,-24682.5,344045.0,-0.072,0.0,3.167,2.057,1.754,-52291.641,-4230.536,0.237,0.161
