,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lddt,tm-score-ost
normalized_rp14_bound.pdb,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-26741.1,284731.0,-0.094,0.0,0.0,0.0,1.658,-45440.596,-7762.772,1.0,1.0
normalized_14_BujnickiPreExp_4_rpr.pdb,5.978,0.0,0.769,0.922,0.577,0.738,7.776,18.77,0.341,0.512,0.262,0.377,0.475,0.934,0.785,-28723.9,257794.0,-0.111,0.0,0.609,1.154,1.783,-44596.206,-6150.963,0.676,0.336
normalized_14_DasPreExp_6_rpr.pdb,7.559,1.1102230246251563e-15,0.792,0.9,0.722,0.761,9.548,23.38,0.302,0.414,0.164,0.311,0.459,0.721,0.794,-29662.6,266370.0,-0.111,0.0,0.797,1.078,1.612,-44185.026,-6150.774,0.682,0.344
normalized_14_ChenPostExp_6_rpr.pdb,7.666,1.8318679906315083e-15,0.73,0.97,0.354,0.69,10.497,22.32,0.335,0.447,0.213,0.361,0.459,0.754,,-21531.9,233966.0,-0.092,,0.761,1.229,1.136,-35843.562,-4836.172,0.521,0.347
normalized_14_BujnickiPreExp_5_rpr.pdb,7.687,1.9984014443252818e-15,0.786,0.9,0.632,0.766,9.777,19.26,0.317,0.439,0.246,0.344,0.459,0.705,0.768,-27470.3,253898.0,-0.108,0.0,0.777,1.136,1.576,-43192.99,-5455.623,0.673,0.313
normalized_14_ChenPostExp_2_rpr.pdb,7.718,2.275957200481571e-15,0.736,0.941,0.25,0.715,10.48,23.78,0.286,0.41,0.164,0.328,0.426,0.721,,-22632.8,258273.0,-0.088,,0.799,1.269,1.107,-34833.543,-4646.347,0.572,0.297
normalized_14_DasPreExp_9_rpr.pdb,7.763,2.7755575615628917e-15,0.786,0.9,0.722,0.753,9.874,18.86,0.291,0.471,0.197,0.295,0.492,0.902,0.787,-29608.6,270283.0,-0.11,0.0,0.802,1.049,1.576,-45679.528,-6468.08,0.635,0.308
normalized_14_DasPreExp_8_rpr.pdb,8.16,1.5654144647214707e-14,0.772,0.922,0.577,0.745,10.565,18.79,0.293,0.377,0.197,0.311,0.393,0.607,0.773,-28831.3,290451.0,-0.099,0.0,0.857,1.153,1.584,-46780.846,-6684.767,0.668,0.306
normalized_14_ChenPostExp_5_rpr.pdb,8.366,3.7636560534792807e-14,0.754,0.97,0.354,0.726,11.089,22.81,0.337,0.422,0.213,0.377,0.459,0.639,,-23314.8,245484.0,-0.095,,0.856,1.208,1.285,-36535.205,-5141.689,0.594,0.344
normalized_14_DasPreExp_5_rpr.pdb,9.769,1.0475398326548202e-11,0.814,0.922,0.791,0.779,12.004,21.59,0.305,0.385,0.23,0.311,0.426,0.574,0.785,-28959.0,300127.0,-0.096,0.0,1.018,1.158,1.553,-46393.92,-6732.511,0.674,0.301
