,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lddt,tm-score-ost
normalized_rp14_free.pdb,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-27533.6,260335.0,-0.106,0.0,0.0,0.0,1.311,-42037.512,-7755.239,1.0,1.0
normalized_14_DasPostExp_6_rpr.pdb,6.864,1.1657341758564144e-15,0.877,0.918,0.913,0.858,7.826,21.25,0.37,0.513,0.207,0.397,0.621,0.828,0.853,-29851.0,290617.0,-0.103,0.0,0.738,0.824,1.329,-46421.937,-7772.22,0.788,0.407
normalized_14_DasPreExp_1_rpr.pdb,6.864,1.1657341758564144e-15,0.877,0.918,0.913,0.858,7.826,21.25,0.37,0.513,0.207,0.397,0.621,0.828,0.853,-29851.0,290617.0,-0.103,0.0,0.738,0.824,1.329,-46421.937,-7772.22,0.788,0.407
normalized_14_DasPostExp_2_rpr.pdb,6.865,1.1657341758564144e-15,0.824,0.86,0.866,0.805,8.328,24.24,0.354,0.478,0.207,0.397,0.552,0.759,0.829,-27903.5,305678.0,-0.091,0.0,0.74,0.951,1.287,-45960.567,-7319.967,0.747,0.393
normalized_14_DasPostExp_3_rpr.pdb,7.028,2.4424906541753444e-15,0.866,0.894,0.913,0.851,8.115,21.65,0.364,0.53,0.207,0.379,0.672,0.862,0.827,-26802.2,306525.0,-0.087,0.0,0.734,0.889,1.345,-46028.571,-7709.688,0.751,0.382
normalized_14_DingPostExp_8_rpr.pdb,7.059,2.8310687127941488e-15,0.709,0.97,0.0,0.668,9.96,28.5,0.268,0.444,0.172,0.259,0.517,0.828,0.737,-20660.5,289216.0,-0.071,0.0,0.699,1.311,0.813,-40835.881,-5422.542,0.477,0.28
normalized_14_DasPreExp_9_rpr.pdb,8.359,6.719069745031447e-13,0.827,0.894,0.913,0.791,10.105,22.03,0.325,0.47,0.207,0.379,0.517,0.776,0.825,-28942.4,287237.0,-0.101,0.0,0.887,0.911,1.303,-45667.042,-7253.461,0.67,0.337
normalized_14_DingPostExp_9_rpr.pdb,8.39,7.606137941706947e-13,0.681,0.97,0.0,0.628,12.312,27.3,0.211,0.332,0.121,0.224,0.379,0.603,0.696,-18084.7,293941.0,-0.062,0.0,0.833,1.462,0.831,-39024.829,-4959.686,0.403,0.26
normalized_14_DasPostExp_5_rpr.pdb,8.689,2.482236638456925e-12,0.815,0.894,0.772,0.791,10.657,22.94,0.36,0.448,0.224,0.414,0.534,0.621,0.795,-28324.8,261475.0,-0.108,0.0,0.913,1.022,1.281,-42149.743,-6566.813,0.677,0.357
normalized_14_DingPostExp_4_rpr.pdb,8.702,2.6137425557237748e-12,0.643,0.918,0.0,0.575,13.542,26.87,0.276,0.409,0.121,0.293,0.517,0.707,0.685,-19512.6,288096.0,-0.068,0.0,0.879,1.477,0.905,-41255.455,-4995.341,0.553,0.294
normalized_14_DingPostExp_6_rpr.pdb,8.77,3.4087732636578494e-12,0.645,0.91,0.0,0.585,13.608,25.46,0.258,0.379,0.172,0.259,0.414,0.672,0.713,-21844.2,301352.0,-0.072,0.0,0.829,1.539,0.789,-41579.992,-5518.677,0.471,0.287
normalized_14_DingPreExp_4_rpr.pdb,8.897,5.55716583860999e-12,0.716,0.97,0.0,0.68,12.433,25.63,0.301,0.44,0.207,0.345,0.5,0.707,0.726,-23556.5,282972.0,-0.083,0.0,0.917,1.333,0.837,-40538.481,-5518.772,0.507,0.321
normalized_14_ChenPostExp_2_rpr.pdb,9.418,3.9789282979540985e-11,0.798,0.91,0.289,0.806,11.802,,0.31,0.427,0.19,0.379,0.517,0.621,0.76,-22224.6,230066.0,-0.097,0.0,0.978,1.138,0.967,-32759.533,-4567.247,0.505,0.286
normalized_14_DingPreExp_1_rpr.pdb,9.459,4.6239678752613145e-11,0.699,0.938,0.0,0.661,13.541,26.03,0.215,0.345,0.121,0.224,0.397,0.638,0.724,-22792.0,291903.0,-0.078,0.0,0.959,1.411,0.907,-42329.499,-5709.307,0.461,0.283
normalized_14_DasPostExp_10_rpr.pdb,9.802,1.6052498219565337e-10,0.824,0.894,0.913,0.787,11.891,25.21,0.285,0.379,0.19,0.328,0.448,0.552,0.789,-29098.2,242792.0,-0.12,0.0,1.029,0.965,1.32,-41855.391,-6585.323,0.66,0.299
normalized_14_DasPreExp_5_rpr.pdb,9.802,1.6052498219565337e-10,0.824,0.894,0.913,0.787,11.891,25.21,0.285,0.379,0.19,0.328,0.448,0.552,0.789,-29098.2,242792.0,-0.12,0.0,1.029,0.965,1.32,-41855.391,-6585.323,0.66,0.299
normalized_14_DasPreExp_3_rpr.pdb,10.494,1.7752027625661524e-09,0.836,0.894,0.833,0.814,12.55,23.85,0.274,0.379,0.207,0.31,0.448,0.552,0.789,-27289.5,270717.0,-0.101,0.0,1.111,1.046,1.249,-42978.598,-6519.269,0.627,0.293
normalized_14_ChenPostExp_5_rpr.pdb,10.595,2.488720507454189e-09,0.794,0.938,0.408,0.782,13.343,,0.335,0.444,0.259,0.414,0.483,0.621,0.766,-23638.8,208579.0,-0.113,0.0,1.084,1.055,1.102,-33220.258,-5016.094,0.5,0.345
normalized_14_DingPostExp_10_rpr.pdb,11.337,2.7351306275402724e-08,0.688,0.97,,0.613,16.491,27.3,0.226,0.319,0.138,0.241,0.362,0.534,0.692,-19745.6,272747.0,-0.072,0.0,1.119,1.382,0.882,-39351.675,-4542.765,0.43,0.216
normalized_14_ChenPostExp_6_rpr.pdb,11.374,3.0637031300795314e-08,0.772,0.938,0.408,0.747,14.73,,0.313,0.405,0.241,0.379,0.448,0.552,0.749,-20665.8,199625.0,-0.104,0.0,1.176,1.092,0.994,-32550.083,-4731.897,0.448,0.315
normalized_14_DasPostExp_7_rpr.pdb,11.444,3.8070594288175386e-08,0.818,0.894,0.816,0.791,13.986,21.71,0.314,0.397,0.224,0.328,0.466,0.569,0.793,-29965.8,251202.0,-0.119,0.0,1.201,0.987,1.317,-43440.723,-6641.576,0.624,0.322
normalized_14_DasPreExp_2_rpr.pdb,11.444,3.8070594288175386e-08,0.818,0.894,0.816,0.791,13.986,21.71,0.314,0.397,0.224,0.328,0.466,0.569,0.793,-29965.8,251202.0,-0.119,0.0,1.201,0.987,1.317,-43440.723,-6641.576,0.624,0.322
normalized_14_BujnickiPreExp_3_rpr.pdb,11.586,5.87284181285952e-08,0.849,0.938,0.833,0.816,13.651,22.64,0.319,0.414,0.259,0.345,0.483,0.569,0.811,-22366.5,265953.0,-0.084,0.0,1.262,0.87,1.135,-39687.598,-6130.241,0.667,0.321
