RMSD,P-VALUE,INF,DI,MCQ,TM-SCORE,CAD,BARNABA,CLASH,GDT-TS,lDDT,QS-SCORE,DFIRE,rsRNASP,RASP,NAME
9.339632464536135e-07,9.596954173703043e-07,9.715741014211485e-07,9.167846390475576e-07,9.965499479186012e-07,1.0565003162982427e-06,2.826267566251139e-06,9.730810660468204e-07,8.183552083462542e-07,8.099132726966833e-07,1.2272019268904708e-06,1.0012479766860723e-06,9.356621151170084e-07,1.3055783388978598e-06,1.0184158443221738e-06,2qusB
1.0916172049038782e-06,1.0458241876177974e-06,1.0503455945847356e-06,1.0701437453091385e-06,1.0481254760913799e-06,1.090121885100426e-06,4.968135589107939e-06,1.1529542387418603e-06,7.98306276334251e-07,8.287731457360029e-07,1.4965500043241e-06,1.066030598173917e-06,1.1172340188280954e-06,2.0620481585207333e-06,1.58045565692494e-06,2nz4S
8.712883137086187e-07,8.89099982997414e-07,8.632126687908865e-07,8.866467085985932e-07,1.284352778448132e-06,1.0595313908086576e-06,1.6174278517538363e-06,8.677883960064351e-07,7.835897256140729e-07,8.131361321756764e-07,1.0736287087158112e-06,1.0230215490251123e-06,8.851755635413455e-07,1.041811454282849e-06,8.58683504687514e-07,1q93C
9.272176367129119e-07,9.37104461931925e-07,9.134208097372043e-07,9.493049184145229e-07,9.668103190545759e-07,1.016059856040541e-06,2.9208080406162038e-06,9.661110070752798e-07,8.10070709769828e-07,8.069971301768491e-07,1.2389554225164883e-06,1.0273471635823965e-06,9.274138585117043e-07,1.277276679724642e-06,1.004670021676102e-06,3traA
8.451657892512019e-07,8.342034176083097e-07,8.129307691670322e-07,8.437059763673643e-07,9.681672799187268e-07,1.0302114655440047e-06,1.4473030809020768e-06,8.61903726607893e-07,7.998653622293156e-07,8.338602779170321e-07,1.0608703816315337e-06,9.90044784060792e-07,8.739243047340196e-07,1.050666990887775e-06,8.373907343835622e-07,1ze2D
8.763165541784303e-07,8.88556571909154e-07,8.871870024209368e-07,8.862025047128433e-07,1.3317012040429332e-06,1.0051945223024602e-06,1.8438934791307692e-06,8.725112607472409e-07,8.14730481362912e-07,8.162458538622915e-07,1.1320343572820047e-06,1.038240812840553e-06,8.641273802372282e-07,1.0580431342907253e-06,8.65326583904524e-07,2ozbF
9.065331540829066e-07,9.248538197992854e-07,8.543002394286126e-07,8.942609315036537e-07,9.83003890025275e-07,1.0093480389482375e-06,2.309387143044437e-06,9.307538301119101e-07,7.868502981237269e-07,8.021869668313849e-07,1.1490820741583635e-06,9.913268477871763e-07,9.066847412570488e-07,1.1910247956913148e-06,9.218529477528057e-07,1u63D
8.722252785454653e-07,8.492697466464648e-07,8.353496253216144e-07,8.613039577157519e-07,1.3069746818918106e-06,1.0026877163100336e-06,1.4918656261214722e-06,9.015612666139624e-07,8.222963904869978e-07,8.147194575964473e-07,1.0727446743673124e-06,1.0023821017565962e-06,8.627810700984792e-07,1.063472936259443e-06,8.649765219331119e-07,1a9nR
9.372143620169547e-07,8.832053881212614e-07,8.663480212084506e-07,8.796356722951783e-07,1.3248612654515996e-06,1.0281548465964362e-06,1.5499667432755967e-06,9.050296466519714e-07,8.290569100372805e-07,8.359958193355067e-07,1.1099608755820446e-06,1.0702070125017916e-06,8.928843511065094e-07,1.0713407192864854e-06,8.951374438390468e-07,2quxR
9.324748917735589e-07,9.362688601631644e-07,9.65279617160189e-07,9.322236278363934e-07,1.050472751866153e-06,1.0693500961204812e-06,2.4214860726077465e-06,9.592000607473269e-07,8.052889385133926e-07,8.113354919620781e-07,1.1641945068222716e-06,1.0446047109356568e-06,9.69484493014221e-07,1.1903442626291779e-06,9.60062375702264e-07,3e5fA
