RMSD,P-VALUE,INF,DI,MCQ,TM-SCORE,CAD,BARNABA,CLASH,GDT-TS,lDDT,QS-SCORE,DFIRE,rsRNASP,RASP,NAME
1.1090140328411693e-06,1.1211260353960297e-06,1.0748885106202654e-06,1.1003479222262479e-06,1.4132634769862108e-06,1.007406224490685e-06,2.808094613871005e-06,9.645516338256761e-07,8.050032862390354e-07,7.968682206865374e-07,1.2204064553245411e-06,1.0438969844392852e-06,9.712948802732481e-07,1.229949100138404e-06,1.039799231821644e-06,3RKF
9.371929216191997e-07,9.28026382304373e-07,8.939886791802559e-07,8.772990799422852e-07,1.3343766214136848e-06,1.0044888864763997e-06,1.948234996414492e-06,9.294114936885421e-07,8.357437286303938e-07,8.178927247853788e-07,1.1038128707068615e-06,1.0266422327832534e-06,9.165665663104612e-07,1.104947174209564e-06,9.104045684674142e-07,6E8S
9.977092327872695e-07,9.892210328991353e-07,9.427149714265678e-07,9.766082012506041e-07,1.4453417578923252e-06,1.013348158315347e-06,3.076290725751835e-06,1.0060415955346535e-06,8.114811573985814e-07,8.381950741986169e-07,1.2626685920987261e-06,1.048792216969838e-06,9.748593220113157e-07,1.3491695042766597e-06,1.097050775832308e-06,5D5L
9.964262696954676e-07,9.795352963844107e-07,9.576569584152652e-07,9.83345311401158e-07,1.337688394920291e-06,1.008302322290304e-06,2.3134194210587843e-06,9.321960072691419e-07,8.115330583490581e-07,8.295889293187152e-07,1.186061263792175e-06,1.0486197826852289e-06,9.301510371879686e-07,1.1669467373427174e-06,9.479657144045548e-07,6TFE
1.098513187132608e-06,1.1170774915375327e-06,1.0504237145527466e-06,1.0776743219016147e-06,1.493279884108219e-06,1.0550062226999761e-06,3.825927847201481e-06,1.0879334593948958e-06,8.215400474895543e-07,8.287508009721294e-07,1.3611639588754862e-06,1.0633131271186739e-06,1.024417865352506e-06,1.6932528757911184e-06,1.251904601821305e-06,1Z43
1.003546968361389e-06,9.422112959744378e-07,9.403925076304568e-07,9.630078477167922e-07,1.430509647066677e-06,1.028951942292285e-06,2.811650151165219e-06,9.760721229103395e-07,8.27487918615104e-07,7.892646775022515e-07,1.2077084077260013e-06,1.0055917714567643e-06,9.386291233626001e-07,1.2757903732874028e-06,1.0327452879834696e-06,4FEN
1.1228673743870774e-06,1.0683692060731478e-06,1.0391921666517812e-06,1.0575882844098925e-06,1.211912562719487e-06,1.0122921282616377e-06,3.3402934359139524e-06,1.0328800834048688e-06,7.978707923575652e-07,8.400798764866061e-07,1.292652920513356e-06,1.0163966908063336e-06,9.873772854684996e-07,1.456832686475828e-06,1.1146191133945247e-06,3A3A
9.983292354067093e-07,9.883433227404747e-07,9.548254799564346e-07,1.014892999942518e-06,1.4379299231076651e-06,1.0346523595682842e-06,3.175659621544323e-06,9.991981771262004e-07,7.984823166369525e-07,8.170156285506463e-07,1.2807637372323493e-06,1.0241144022773944e-06,9.67581069947683e-07,1.3327952494316363e-06,1.1198930775363491e-06,6JQ6
9.537305474075313e-07,9.463461817675746e-07,9.337402069335356e-07,9.273027680056142e-07,1.3784214998557557e-06,1.0355657736569479e-06,2.322925089951928e-06,9.389662256051276e-07,8.687364012022139e-07,8.065699227995076e-07,1.1620226806621089e-06,9.987102686192597e-07,9.397291579403297e-07,1.1812907440233268e-06,9.344058645979316e-07,7K16
1.054937695610268e-06,1.0527880863703381e-06,1.0162745140830924e-06,1.0716351424015159e-06,1.0316555374630676e-06,1.0449413835186627e-06,2.99985003543439e-06,1.0093099764554263e-06,8.184535459375573e-07,8.032388184867392e-07,1.2490633844053957e-06,1.0231081777008375e-06,9.457881081255904e-07,1.376779428802543e-06,1.0647271911826824e-06,7KJU
1.1519579268242454e-06,1.1662044584656257e-06,1.1308980267865818e-06,1.1439902666657616e-06,1.4370879418302062e-06,1.074565921151586e-06,2.954207798775381e-06,9.905283066691298e-07,8.254528271241031e-07,8.185090023175841e-07,1.2566260403315765e-06,1.0430688456636645e-06,9.714267996546727e-07,1.3504148659320478e-06,1.0834000652754121e-06,3L0U
9.960000625175518e-07,9.952599526677788e-07,9.325031158475739e-07,1.040854490426267e-06,1.4305854907276792e-06,1.0584779716470056e-06,2.921406184208985e-06,9.678080750947915e-07,8.005918829357152e-07,8.207100014765033e-07,1.2484258837067014e-06,1.0402274039573567e-06,9.56111191858028e-07,1.275404424566558e-06,1.0446724453988774e-06,3LA5
