RMSD,P-VALUE,INF,DI,MCQ,TM-SCORE,CAD,BARNABA,CLASH,GDT-TS,lDDT,QS-SCORE,DFIRE,rsRNASP,RASP,NAME
9.667003373271985e-07,9.393275788924319e-07,9.311120941721477e-07,9.449440914239883e-07,1.0094066402172648e-06,1.0710282060318171e-06,2.855031611852324e-06,9.873696986758942e-07,8.047759481495495e-07,8.200003406603771e-07,1.2457980863387014e-06,1.0176965322939248e-06,9.135263664238214e-07,1.3381521684366407e-06,1.0312510311005078e-06,rp20
1.0541749943542179e-06,1.0359150543028707e-06,9.998083868419898e-07,1.005180236906665e-06,1.4113919548211984e-06,1.014137595036883e-06,2.606882063616975e-06,9.545006708718942e-07,7.894092415622482e-07,8.247398638938199e-07,1.189570842853264e-06,1.0255451730937657e-06,9.686460330975468e-07,1.244934952361098e-06,9.947088647131432e-07,rp13
9.74169751317913e-07,9.927765952172385e-07,9.375788022025132e-07,9.569681473814942e-07,1.4049478547168834e-06,1.0416879252261424e-06,2.51710204623887e-06,9.598227323222643e-07,8.03998636300606e-07,8.370688435688086e-07,1.176707557858813e-06,1.0315353830022263e-06,9.349745768327906e-07,1.2419755022558103e-06,9.92482565436839e-07,rp14_free
1.2996663090065907e-06,1.2700398890874344e-06,1.1665482009775219e-06,1.2867349374875705e-06,1.7198546600715947e-06,1.1063458990021621e-06,6.390622498529787e-06,1.28874084556265e-06,8.415281198175845e-07,8.174657599335703e-07,1.6928819947480851e-06,1.0492927603516392e-06,1.127510809326596e-06,2.873196258294668e-06,2.141643242648933e-06,rp07
9.350936181276726e-07,9.157503695153116e-07,8.872029060569541e-07,9.213344660696825e-07,1.3561857387852804e-06,1.0561777791334641e-06,2.150166398939967e-06,9.227376017847709e-07,8.280501784734136e-07,8.134729284854557e-07,1.1603276150271928e-06,1.0553149568481463e-06,9.274448176203136e-07,1.1844547542912923e-06,9.239030819704222e-07,rp01
1.1353816471688647e-06,1.133215929266871e-06,1.0193517944982512e-06,1.1336968187038411e-06,1.5047192258350372e-06,1.0644521339717988e-06,4.062320602126977e-06,1.080541388579334e-06,8.022684509780957e-07,8.130771233810573e-07,1.3816466987058989e-06,1.0540442188494907e-06,1.0286871269089207e-06,1.942198338418825e-06,1.313315146394826e-06,rp24
1.19358009767069e-06,1.1781335399813127e-06,1.0800129672276415e-06,1.1761377196393203e-06,1.605872511830604e-06,1.2922866064729885e-06,5.859869953487729e-06,1.230676916559808e-06,8.30863794170659e-07,8.48719081707979e-07,1.616109023578464e-06,1.0594538453520362e-06,1.1513173051585323e-06,2.3897440105577512e-06,1.8331163685843438e-06,rp10
1.0504786574997815e-06,1.0666293179207602e-06,1.0266945102055133e-06,1.0360049851223752e-06,1.4293917257326892e-06,1.0277537620602498e-06,2.939389611407775e-06,9.809145453939795e-07,8.093895813619715e-07,7.997342834637278e-07,1.2201208192268869e-06,1.0376223160355602e-06,9.712856719550836e-07,1.2803639331909932e-06,1.0261217318526881e-06,rp18
1.4199662065448548e-06,1.4403497988788653e-06,1.3158638516342363e-06,1.4179032853436874e-06,1.7284020933151281e-06,1.0914461139078585e-06,6.6577021305273395e-06,1.2821167986212632e-06,7.913305361648684e-07,8.383980421741802e-07,1.722278618823608e-06,1.090861366221859e-06,1.2795363321134214e-06,2.9174942543078365e-06,2.2311327559946717e-06,rp05
1.0812123030531348e-06,1.088726576374665e-06,1.0314587685055899e-06,1.106254136973422e-06,1.2609124498916422e-06,1.0388852631720878e-06,3.3587384686309857e-06,1.0152480023734266e-06,7.982108121110393e-07,8.224995928997476e-07,1.2948413063905809e-06,1.0394958186489296e-06,9.617886396132932e-07,1.3600019905899817e-06,1.1584464790768559e-06,rp03
1.0883970568805695e-06,1.1009672761668486e-06,1.051121158436769e-06,1.0967161870058663e-06,1.2199419525162243e-06,1.0390717483426154e-06,2.54282685842715e-06,9.5882132474881e-07,8.221094296533465e-07,7.991788774049515e-07,1.2115503370763957e-06,1.0102680298990597e-06,9.28100182109809e-07,1.1927587320814723e-06,9.685359397032306e-07,rp17
1.0042486746876199e-06,9.67446240457518e-07,9.309963856590865e-07,9.614753313306323e-07,1.4090380073801747e-06,1.035996272345138e-06,2.520872580277551e-06,9.337814069131413e-07,8.1641882618802e-07,7.956593094590397e-07,1.1918598223352333e-06,1.027335712412534e-06,9.125324454951119e-07,1.2188921683680348e-06,9.86340866516359e-07,rp11
