,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,RNA3DCNN,lddt,tm-score-ost
normalized_1y39D.pdb,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-21471.0,363955.0,-0.059,,0.0,0.0,1.175,-47081.316,-7661.951,-606.1904,1.0,1.0
normalized_1y39D_M1.pdb,,,0.324,0.0,0.111,0.468,,,0.0,0.0,0.0,0.0,0.0,0.0,,-19485.2,356975.0,-0.055,,,,1.105,-43738.465,-7018.279,-598.30975,0.827,0.996
normalized_1y39D_M10.pdb,,,0.317,0.0,0.105,0.462,,,0.0,0.0,0.0,0.0,0.0,0.0,,-18211.4,357440.0,-0.051,,,,1.068,-42889.902,-6907.895,-591.59076,0.743,0.984
normalized_1y39D_M100.pdb,,,0.263,0.0,0.101,0.384,,,0.0,0.0,0.0,0.0,0.0,0.0,,-14298.8,357785.0,-0.04,,,,0.739,-39943.079,-6157.173,-582.729,0.837,0.895
normalized_1y39D_M101.pdb,,,0.261,0.0,0.118,0.37,,,0.0,0.0,0.0,0.0,0.0,0.0,,-14307.5,361442.0,-0.04,,,,0.69,-40142.201,-6307.992,-592.4899,0.764,0.884
normalized_1y39D_M102.pdb,,,0.238,0.0,0.111,0.341,,,0.0,0.0,0.0,0.0,0.0,0.0,,-13154.0,356162.0,-0.037,,,,0.611,-39149.111,-6027.671,-609.52844,0.799,0.87
normalized_1y39D_M103.pdb,,,0.317,0.0,0.118,0.456,,,0.0,0.0,0.0,0.0,0.0,0.0,,-14262.3,359600.0,-0.04,,,,0.74,-40835.634,-6345.608,-577.25525,0.84,0.882
normalized_1y39D_M104.pdb,,,0.305,0.0,0.111,0.43,,,0.0,0.0,0.0,0.0,0.0,0.0,,-15320.4,361606.0,-0.042,,,,0.794,-40690.28,-6293.812,-595.20374,0.837,0.892
normalized_1y39D_M105.pdb,,,0.322,0.0,0.105,0.452,,,0.0,0.0,0.0,0.0,0.0,0.0,,-14861.4,357386.0,-0.042,,,,0.738,-39766.244,-5945.461,-586.47925,0.818,0.864
normalized_1y39D_M106.pdb,,,0.279,0.0,0.118,0.392,,,0.0,0.0,0.0,0.0,0.0,0.0,,-15593.1,360471.0,-0.043,,,,0.736,-40836.015,-6292.492,-595.793,0.834,0.911
normalized_1y39D_M107.pdb,,,0.289,0.0,0.105,0.42,,,0.0,0.0,0.0,0.0,0.0,0.0,,-15339.3,359453.0,-0.043,,,,0.765,-40930.692,-6414.79,-584.7767,0.846,0.895
normalized_1y39D_M108.pdb,,,0.312,0.0,0.118,0.444,,,0.0,0.0,0.0,0.0,0.0,0.0,,-14049.7,358682.0,-0.039,,,,0.684,-39947.578,-6127.123,-583.54504,0.823,0.873
normalized_1y39D_M109.pdb,,,0.257,0.0,0.105,0.379,,,0.0,0.0,0.0,0.0,0.0,0.0,,-15482.3,357143.0,-0.043,,,,0.824,-40895.718,-6381.217,-578.67926,0.849,0.901
