,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,RNA3DCNN,lddt,tm-score-ost
normalized_2ozbF.pdb,0.0,1.9984014443252818e-15,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-11711.8,129244.0,-0.091,,0.0,0.0,0.787,-21069.446,-4158.324,-280.4926,1.0,1.0
normalized_2ozbF_M1.pdb,0.654,3.4028335704761054e-14,0.984,1.0,1.0,0.975,0.665,0.71,0.119,0.204,0.121,0.182,0.242,0.273,0.024,-11445.7,129787.0,-0.088,,0.085,0.054,0.772,-20438.883,-3995.836,-281.5737,0.963,0.993
normalized_2ozbF_M5.pdb,0.687,3.902433931557425e-14,0.955,1.0,1.0,0.929,0.719,1.22,0.12,0.204,0.121,0.182,0.242,0.273,0.024,-11371.7,129876.0,-0.088,,0.086,0.09,0.758,-20239.258,-4027.711,-281.29504,0.957,0.991
normalized_2ozbF_M4.pdb,0.703,4.1799896877137144e-14,0.969,1.0,1.0,0.951,0.725,1.08,0.119,0.204,0.121,0.182,0.242,0.273,0.023,-11324.9,129717.0,-0.087,,0.092,0.071,0.77,-20226.614,-3988.557,-278.1592,0.954,0.993
normalized_2ozbF_M6.pdb,0.72,4.4797499043625066e-14,0.907,0.949,0.816,0.901,0.794,1.93,0.118,0.204,0.121,0.182,0.242,0.273,0.023,-11268.8,129577.0,-0.087,,0.088,0.491,0.74,-19912.495,-3815.273,-276.93167,0.952,0.966
normalized_2ozbF_M2.pdb,0.776,5.689893001203927e-14,0.969,1.0,1.0,0.951,0.801,3.64,0.119,0.204,0.121,0.182,0.242,0.273,0.023,-11162.7,129933.0,-0.086,,0.1,0.086,0.77,-19875.99,-3870.037,-276.01025,0.617,0.967
normalized_2ozbF_M9.pdb,0.805,6.417089082333406e-14,0.885,0.894,0.816,0.895,0.909,2.65,0.121,0.204,0.121,0.182,0.242,0.273,0.025,-10825.0,129766.0,-0.083,,0.09,0.69,0.703,-19585.042,-3746.116,-277.6591,0.941,0.969
normalized_2ozbF_M11.pdb,0.81,6.550315845288426e-14,0.921,0.949,1.0,0.901,0.88,6.09,0.12,0.204,0.121,0.182,0.242,0.273,0.024,-10718.5,129594.0,-0.083,,0.092,0.492,0.701,-19798.906,-3912.659,-276.8726,0.746,0.876
normalized_2ozbF_M10.pdb,0.845,7.57172102794357e-14,0.935,0.949,1.0,0.923,0.903,6.13,0.119,0.204,0.121,0.182,0.242,0.273,0.021,-10971.8,129450.0,-0.085,,0.091,0.448,0.703,-19757.119,-3843.177,-283.64056,0.859,0.925
normalized_2ozbF_M7.pdb,0.866,8.287814878826796e-14,0.918,0.949,1.0,0.895,0.944,3.86,0.121,0.204,0.121,0.182,0.242,0.273,0.023,-10172.2,129896.0,-0.078,,0.092,0.549,0.662,-19479.272,-3775.756,-279.35617,0.805,0.892
normalized_2ozbF_M3.pdb,0.892,9.237055564881302e-14,0.969,1.0,1.0,0.951,0.921,0.85,0.119,0.204,0.121,0.182,0.242,0.273,0.023,-11273.9,129727.0,-0.087,,0.092,0.129,0.767,-20268.389,-3976.855,-276.50558,0.951,0.989
normalized_2ozbF_M12.pdb,0.926,1.0613732115416497e-13,0.857,0.894,0.707,0.872,1.08,7.02,0.118,0.197,0.121,0.151,0.242,0.273,0.025,-10636.1,129403.0,-0.082,,0.101,0.691,0.675,-19352.294,-3664.684,-269.98404,0.794,0.885
normalized_2ozbF_M8.pdb,0.96,1.2234657731369225e-13,0.885,0.894,1.0,0.872,1.084,5.17,0.12,0.204,0.121,0.182,0.242,0.273,0.024,-10489.4,129731.0,-0.081,,0.098,0.64,0.627,-19352.983,-3638.517,-285.523,0.842,0.916
normalized_2ozbF_M18.pdb,0.991,1.3922196728799468e-13,0.921,0.949,1.0,0.901,1.077,12.69,0.12,0.197,0.121,0.151,0.242,0.273,0.025,-10367.7,130449.0,-0.079,,0.097,0.54,0.662,-19415.824,-3800.608,-282.13544,0.885,0.9
normalized_2ozbF_M13.pdb,0.992,1.3961054534661346e-13,0.921,0.949,0.816,0.923,1.077,8.84,0.109,0.204,0.121,0.182,0.242,0.273,0.023,-10472.3,130281.0,-0.08,,0.096,0.526,0.694,-19640.904,-3761.271,-272.02545,0.56,0.858
normalized_2ozbF_M14.pdb,1.001,1.4510614931850796e-13,0.984,1.0,1.0,0.975,1.017,12.04,0.122,0.197,0.121,0.151,0.242,0.273,0.025,-11001.9,129825.0,-0.085,,0.11,0.182,0.709,-19809.9,-3948.984,-289.85062,0.861,0.859
