,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,RNA3DCNN,lddt,tm-score-ost
2i82H.pdb,0.0,4.832665634335599e-08,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-8607.94,64197.0,-0.134,,0.0,0.0,1.216,0.0,-4075.652,,,
normalized_2i82H_M1.pdb,,,0.489,0.0,0.0,0.759,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7626.27,67723.0,-0.113,,,,1.077,0.0,-4047.428,-151.11509704589844,0.503,0.765
normalized_2i82H_M10.pdb,,,0.501,0.0,0.0,0.759,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7762.95,68910.0,-0.113,,,,1.109,0.0,-4129.395,-151.59503173828125,0.909,0.828
normalized_2i82H_M100.pdb,,,0.303,0.0,0.0,0.467,,,0.0,0.0,0.0,0.0,0.0,0.0,,-5143.93,68200.0,-0.075,,,,0.458,0.0,-3442.529,-154.37599182128906,0.771,0.304
normalized_2i82H_M101.pdb,,,0.261,0.0,0.0,0.408,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4373.2,69085.0,-0.063,,,,0.37,0.0,-3263.389,-150.9866943359375,0.734,0.306
normalized_2i82H_M102.pdb,,,0.39,0.0,0.0,0.572,,,0.0,0.0,0.0,0.0,0.0,0.0,,-5010.75,67855.0,-0.074,,,,0.448,0.0,-3332.444,-136.8759765625,0.705,0.249
normalized_2i82H_M103.pdb,,,0.377,0.0,0.0,0.602,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4493.1,68015.0,-0.066,,,,0.458,0.0,-3013.693,-160.7300262451172,0.719,0.263
normalized_2i82H_M104.pdb,,,0.431,0.0,0.0,0.645,,,0.0,0.0,0.0,0.0,0.0,0.0,,-5495.28,67933.0,-0.081,,,,0.513,0.0,-3438.758,-134.08937072753906,0.795,0.396
normalized_2i82H_M105.pdb,,,0.383,0.0,0.0,0.596,,,0.0,0.0,0.0,0.0,0.0,0.0,,-5631.93,70458.0,-0.08,,,,0.592,0.0,-3362.97,-150.53057861328125,0.759,0.317
normalized_2i82H_M106.pdb,,,0.301,0.218,0.0,0.365,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4592.82,68480.0,-0.067,,,,0.28,0.0,-3043.924,-143.68580627441406,0.722,0.291
normalized_2i82H_M107.pdb,,,0.377,0.0,0.0,0.572,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4791.27,68438.0,-0.07,,,,0.463,0.0,-3086.581,-153.07708740234375,0.749,0.369
normalized_2i82H_M108.pdb,,,0.334,0.0,,0.516,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4832.04,67398.0,-0.072,,,,0.379,0.0,-3068.686,-155.99099731445312,0.742,0.319
normalized_2i82H_M109.pdb,,,0.478,0.0,0.0,0.716,,,0.0,0.0,0.0,0.0,0.0,0.0,,-5543.55,67368.0,-0.082,,,,0.45,0.0,-3152.39,-141.60484313964844,0.79,0.438
normalized_2i82H_M11.pdb,,,0.501,0.0,0.0,0.759,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7778.88,68087.0,-0.114,,,,0.977,0.0,-4059.557,-145.0660400390625,0.87,0.794
normalized_2i82H_M110.pdb,,,0.431,0.0,0.0,0.645,,,0.0,0.0,0.0,0.0,0.0,0.0,,-5656.38,69271.0,-0.082,,,,0.575,0.0,-3442.664,-155.3385009765625,0.804,0.322
normalized_2i82H_M111.pdb,,,0.446,0.0,0.0,0.653,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4470.01,69191.0,-0.065,,,,0.405,0.0,-3062.044,-145.97085571289062,0.74,0.423
normalized_2i82H_M112.pdb,,,0.393,0.0,0.0,0.623,,,0.0,0.0,0.0,0.0,0.0,0.0,,-5453.82,67376.0,-0.081,,,,0.437,0.0,-3418.807,-146.14187622070312,0.771,0.346
normalized_2i82H_M113.pdb,,,0.209,0.0,,0.316,,,0.0,0.0,0.0,0.0,0.0,0.0,,-3509.0,72466.0,-0.048,,,,0.229,0.0,-2892.086,-164.9474334716797,0.659,0.292
normalized_2i82H_M114.pdb,,,0.365,0.0,0.0,0.572,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4547.63,70915.0,-0.064,,,,0.491,0.0,-3334.609,-139.7658233642578,0.746,0.279
normalized_2i82H_M115.pdb,,,0.417,0.0,0.0,0.596,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4462.33,68259.0,-0.065,,,,0.369,0.0,-3072.89,-142.0839080810547,0.763,0.377
normalized_2i82H_M116.pdb,,,0.361,0.0,,0.516,,,0.0,0.0,0.0,0.0,0.0,0.0,,-3932.12,68874.0,-0.057,,,,0.342,0.0,-3053.811,-130.98716735839844,0.695,0.254
normalized_2i82H_M117.pdb,,,0.279,0.0,0.0,0.456,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4015.3,69484.0,-0.058,,,,0.451,0.0,-3240.538,-152.57028198242188,0.713,0.266
normalized_2i82H_M118.pdb,,,0.334,0.0,0.0,0.516,,,0.0,0.0,0.0,0.0,0.0,0.0,,-3501.69,68890.0,-0.051,,,,0.354,0.0,-3015.414,-165.7975311279297,0.704,0.3
normalized_2i82H_M119.pdb,,,0.221,0.0,0.0,0.346,,,0.0,0.0,0.0,0.0,0.0,0.0,,-3889.66,69732.0,-0.056,,,,0.325,0.0,-3015.843,-155.22100830078125,0.687,0.257
normalized_2i82H_M12.pdb,,,0.501,0.0,0.0,0.759,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7524.27,67752.0,-0.111,,,,1.055,0.0,-4041.952,-153.61932373046875,0.924,0.819
normalized_2i82H_M120.pdb,,,0.405,0.218,0.0,0.516,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4366.74,70017.0,-0.062,,,,0.318,0.0,-2730.307,-147.23822021484375,0.705,0.312
normalized_2i82H_M121.pdb,,,0.323,0.0,0.0,0.49,,,0.0,0.0,0.0,0.0,0.0,0.0,,-1825.25,66762.0,-0.027,,,,0.363,0.0,-3027.399,-157.42274475097656,0.683,0.318
normalized_2i82H_M122.pdb,,,0.313,0.0,0.0,0.516,,,0.0,0.0,0.0,0.0,0.0,0.0,,-3636.85,68891.0,-0.053,,,,0.264,0.0,-2864.763,-149.64195251464844,0.682,0.256
normalized_2i82H_M123.pdb,,,0.347,0.0,0.0,0.516,,,0.0,0.0,0.0,0.0,0.0,0.0,,-3413.63,68180.0,-0.05,,,,0.288,0.0,-2955.889,-149.09938049316406,0.702,0.308
normalized_2i82H_M124.pdb,,,0.334,0.0,0.0,0.516,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4076.06,66932.0,-0.061,,,,0.328,0.0,-3052.788,-134.9057159423828,0.698,0.26
normalized_2i82H_M125.pdb,,,0.215,0.0,0.0,0.365,,,0.0,0.0,0.0,0.0,0.0,0.0,,-3964.94,69596.0,-0.057,,,,0.324,0.0,-3250.278,-138.5761260986328,0.72,0.284
normalized_2i82H_M126.pdb,,,0.365,0.0,0.0,0.572,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4292.52,68282.0,-0.063,,,,0.29,0.0,-2877.387,-149.60702514648438,0.699,0.315
normalized_2i82H_M127.pdb,,,0.365,0.0,0.0,0.572,,,0.0,0.0,0.0,0.0,0.0,0.0,,-3518.85,68970.0,-0.051,,,,0.467,0.0,-3291.398,-153.44290161132812,0.742,0.329
normalized_2i82H_M128.pdb,,,0.279,0.0,0.0,0.488,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4576.06,69405.0,-0.066,,,,0.407,0.0,-3213.317,-155.40940856933594,0.72,0.268
normalized_2i82H_M129.pdb,,,0.323,0.0,0.0,0.49,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4082.21,69605.0,-0.059,,,,0.388,0.0,-3172.393,-137.0799102783203,0.716,0.38
normalized_2i82H_M13.pdb,,,0.489,0.0,0.0,0.759,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7633.07,67559.0,-0.113,,,,0.979,0.0,-3993.017,-138.1398468017578,0.924,0.697
normalized_2i82H_M130.pdb,,,0.289,0.0,0.0,0.43,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4436.05,67706.0,-0.066,,,,0.377,0.0,-3184.68,-151.81910705566406,0.723,0.307
normalized_2i82H_M131.pdb,,,0.365,0.0,0.0,0.572,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4551.68,70083.0,-0.065,,,,0.5,0.0,-3326.434,-163.8390350341797,0.712,0.278
normalized_2i82H_M132.pdb,,,0.347,0.0,0.0,0.516,,,0.0,0.0,0.0,0.0,0.0,0.0,,-3810.88,70814.0,-0.054,,,,0.325,0.0,-2953.473,-152.2362823486328,0.738,0.322
normalized_2i82H_M133.pdb,,,0.377,0.0,0.0,0.545,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4765.91,68938.0,-0.069,,,,0.425,0.0,-3095.447,-151.5948944091797,0.713,0.282
normalized_2i82H_M134.pdb,,,0.301,0.0,0.0,0.456,,,0.0,0.0,0.0,0.0,0.0,0.0,,-3988.21,69562.0,-0.057,,,,0.273,0.0,-3007.025,-147.1918182373047,0.705,0.254
normalized_2i82H_M135.pdb,,,0.361,0.0,,0.548,,,0.0,0.0,0.0,0.0,0.0,0.0,,-3171.48,69804.0,-0.045,,,,0.344,0.0,-2763.802,-143.39349365234375,0.539,0.225
normalized_2i82H_M136.pdb,,,0.301,0.0,0.0,0.43,,,0.0,0.0,0.0,0.0,0.0,0.0,,-3886.93,66349.0,-0.059,,,,0.33,0.0,-2944.749,-155.20404052734375,0.694,0.265
normalized_2i82H_M137.pdb,,,0.431,0.0,,0.653,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4220.51,69897.0,-0.06,,,,0.243,0.0,-3017.907,-151.81346130371094,0.693,0.252
normalized_2i82H_M138.pdb,,,0.289,0.0,0.0,0.456,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4304.96,67862.0,-0.063,,,,0.443,0.0,-2966.809,-149.14796447753906,0.715,0.245
normalized_2i82H_M139.pdb,,,0.347,0.0,0.0,0.516,,,0.0,0.0,0.0,0.0,0.0,0.0,,-4702.44,66925.0,-0.07,,,,0.351,0.0,-3115.536,-152.30516052246094,0.748,0.296
normalized_2i82H_M14.pdb,,,0.533,0.0,0.0,0.8,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7953.28,67983.0,-0.117,,,,1.083,0.0,-4150.343,-152.0096893310547,0.94,0.782
