,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,RNA3DCNN,lddt,tm-score-ost
1njp5.pdb,0.0,1.215411105093267e-11,1.0,1.0,,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-12125.7,80384.0,-0.151,,0.0,0.0,1.826,-16215.504,-3956.775,,,
normalized_1njp5_M1.pdb,,,0.7,0.632,,0.74,,,0.58,0.625,0.625,0.625,0.625,0.625,0.49,-6522.28,38089.0,-0.171,,,,0.834,-7195.744,-3103.827,-89.75485229492188,0.225,0.557
normalized_1njp5_M10.pdb,,,0.669,0.548,,0.731,,,0.508,0.625,0.625,0.625,0.625,0.625,0.49,-6363.31,38478.0,-0.165,,,,0.569,-7104.887,-3052.579,-88.2123031616211,0.344,0.488
normalized_1njp5_M100.pdb,,,0.476,0.447,,0.542,,,0.236,0.521,0.375,0.5,0.583,0.625,0.451,-2622.11,34927.0,-0.075,,,,0.163,-4958.828,-2206.996,-110.57069396972656,0.251,0.226
normalized_1njp5_M101.pdb,,,0.333,0.316,,0.343,,,0.243,0.573,0.417,0.625,0.625,0.625,0.457,-2729.77,37786.0,-0.072,,,,0.112,-5428.529,-2408.228,-82.4327621459961,0.26,0.233
normalized_1njp5_M102.pdb,,,0.577,0.548,,0.594,,,0.273,0.531,0.375,0.542,0.583,0.625,0.447,-4117.92,37851.0,-0.109,,,,0.177,-5625.511,-2526.026,-88.17267608642578,0.272,0.262
normalized_1njp5_M103.pdb,,,0.476,0.474,,0.485,,,0.252,0.531,0.375,0.542,0.583,0.625,0.454,-2511.61,36608.0,-0.069,,,,0.111,-5219.337,-2278.978,-88.71739196777344,0.251,0.242
normalized_1njp5_M104.pdb,,,0.436,0.316,,0.495,,,0.224,0.531,0.333,0.542,0.625,0.625,0.455,-2145.95,38860.0,-0.055,,,,0.11,-4877.463,-2425.83,-103.80390167236328,0.258,0.215
normalized_1njp5_M105.pdb,,,0.393,0.447,,0.42,,,0.218,0.479,0.292,0.5,0.542,0.583,0.448,-1584.7,33649.0,-0.047,,,,0.158,-5249.242,-1974.345,-82.4945068359375,0.252,0.207
normalized_1njp5_M106.pdb,,,0.385,0.447,,0.343,,,0.194,0.396,0.25,0.333,0.458,0.542,0.437,-1735.81,31550.0,-0.055,,,,0.153,-4601.452,-1975.156,-102.5548324584961,0.208,0.186
normalized_1njp5_M107.pdb,,,0.408,0.548,,0.325,,,0.207,0.521,0.292,0.542,0.625,0.625,0.422,-2449.89,38675.0,-0.063,,,,0.174,-5348.875,-2320.987,-97.92810821533205,0.249,0.198
normalized_1njp5_M108.pdb,,,0.471,0.548,,0.42,,,0.183,0.469,0.25,0.458,0.542,0.625,0.458,-2236.07,38059.0,-0.059,,,,0.254,-5287.761,-2296.507,-101.81146240234376,0.25,0.201
normalized_1njp5_M109.pdb,,,0.408,0.548,,0.364,,,0.167,0.458,0.208,0.417,0.583,0.625,0.455,-2375.1,39261.0,-0.06,,,,0.154,-5335.316,-2345.652,-87.99481964111328,0.254,0.16
normalized_1njp5_M11.pdb,,,0.72,0.632,,0.767,,,0.419,0.615,0.583,0.625,0.625,0.625,0.493,-6221.25,38329.0,-0.162,,,,0.733,-7179.502,-3094.961,-87.91007232666016,0.348,0.402
normalized_1njp5_M110.pdb,,,0.544,0.548,,0.542,,,0.258,0.5,0.417,0.458,0.542,0.583,0.43,-2323.72,42542.0,-0.055,,,,0.204,-5898.902,-2430.05,-114.37860870361328,0.253,0.245
normalized_1njp5_M111.pdb,,,0.487,0.474,,0.542,,,0.157,0.448,0.208,0.458,0.542,0.583,0.469,-2704.84,31759.0,-0.085,,,,0.129,-4909.525,-2037.898,-90.66922760009766,0.238,0.15
normalized_1njp5_M112.pdb,,,0.333,0.316,,0.343,,,0.169,0.417,0.25,0.375,0.458,0.583,0.423,-1934.45,33003.0,-0.059,,,,0.132,-4685.726,-2081.551,-99.05486297607422,0.21,0.101
