,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,RNA3DCNN,lddt,tm-score-ost
1ze2D.pdb,0.0,8.195060741122973e-10,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9393.15,73671.0,-0.128,,0.0,0.0,1.19,-14020.26,-4546.962,,,
normalized_1ze2D_M1.pdb,,,0.44,0.0,0.0,0.648,,,0.983,1.0,1.0,1.0,1.0,1.0,0.946,-9247.27,73702.0,-0.125,,0.086,0.068,1.162,-13337.259,-4493.02,-175.58567810058594,0.842,0.938
normalized_1ze2D_M10.pdb,,,0.458,0.0,0.0,0.688,,,0.896,1.0,1.0,1.0,1.0,1.0,0.939,-8841.09,74296.0,-0.119,,0.088,0.147,1.035,-13032.599,-4481.963,-168.8832244873047,0.654,0.856
normalized_1ze2D_M100.pdb,,,0.401,0.0,,0.581,,,0.398,0.929,0.762,0.952,1.0,1.0,0.816,-6701.04,75469.0,-0.089,,0.175,0.828,0.396,-11387.788,-3593.878,-166.51708984375,0.685,0.38
normalized_1ze2D_M101.pdb,,,0.365,0.0,,0.535,,,0.492,0.941,0.762,1.0,1.0,1.0,0.857,-6355.62,75019.0,-0.085,,0.152,0.73,0.436,-11700.9,-3527.152,-175.00306701660156,0.698,0.47
normalized_1ze2D_M102.pdb,,,0.297,0.0,0.0,0.452,,,0.33,0.869,0.571,0.905,1.0,1.0,0.869,-5511.71,74057.0,-0.074,,0.197,0.95,0.311,-10673.067,-3577.873,-166.9876708984375,0.658,0.315
normalized_1ze2D_M103.pdb,,,0.356,0.0,0.0,0.535,,,0.415,0.952,0.809,1.0,1.0,1.0,0.832,-6700.83,74134.0,-0.09,,0.166,0.789,0.451,-11417.303,-3779.739,-162.96163940429688,0.679,0.396
normalized_1ze2D_M104.pdb,,,0.218,0.0,,0.333,,,0.335,0.917,0.667,1.0,1.0,1.0,0.83,-5314.91,74389.0,-0.071,,0.178,1.169,0.339,-10636.796,-3235.178,-178.46197509765625,0.652,0.32
normalized_1ze2D_M105.pdb,,,0.218,0.0,,0.333,,,0.372,0.893,0.714,0.905,0.952,1.0,0.847,-4660.61,74784.0,-0.062,,0.251,0.911,0.29,-10749.914,-2945.279,-167.39158630371094,0.665,0.355
normalized_1ze2D_M106.pdb,,,0.328,0.143,0.0,0.474,,,0.444,0.941,0.809,0.952,1.0,1.0,0.834,-6242.97,75745.0,-0.082,,0.204,0.934,0.479,-11710.679,-3648.766,-166.8971405029297,0.678,0.424
normalized_1ze2D_M107.pdb,,,0.289,0.0,0.0,0.452,,,0.445,0.941,0.809,0.952,1.0,1.0,0.86,-6084.41,74688.0,-0.081,,0.187,0.927,0.454,-10983.593,-3714.281,-155.22412109375,0.659,0.425
normalized_1ze2D_M108.pdb,,,0.17,0.0,0.0,0.283,,,0.359,0.893,0.619,0.952,1.0,1.0,0.78,-5506.72,74370.0,-0.074,,0.192,1.154,0.24,-10779.626,-3124.929,-172.8085479736328,0.643,0.342
normalized_1ze2D_M109.pdb,,,0.211,0.0,0.0,0.354,,,0.399,0.917,0.667,1.0,1.0,1.0,0.813,-5180.77,75424.0,-0.069,,0.179,1.289,0.204,-10322.4,-3459.484,-177.99989318847656,0.602,0.381
normalized_1ze2D_M11.pdb,,,0.449,0.0,0.0,0.667,,,0.937,1.0,1.0,1.0,1.0,1.0,0.935,-9169.1,73789.0,-0.124,,0.091,0.248,1.032,-13160.196,-4490.315,-164.9964599609375,0.831,0.894
