,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,RNA3DCNN,lddt,tm-score-ost
normalized_1mzpB.pdb,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-23390.3,293094.0,-0.08,0.0,0.0,0.0,1.211,-42855.642,-8378.847,-526.7423,1.0,1.0
normalized_1mzpB_M4.pdb,0.679,0.0,0.986,0.968,1.0,0.989,0.689,0.82,0.999,1.0,1.0,1.0,1.0,1.0,0.98,-22635.9,292051.0,-0.078,0.0,0.09,0.098,1.145,-40487.063,-7878.67,-525.4255,0.944,0.999
normalized_1mzpB_M6.pdb,0.687,0.0,0.972,0.968,1.0,0.968,0.707,1.29,0.999,1.0,1.0,1.0,1.0,1.0,0.979,-22709.4,292132.0,-0.078,0.0,0.091,0.119,1.12,-40394.836,-7893.604,-524.1162,0.946,0.999
normalized_1mzpB_M7.pdb,0.697,0.0,0.971,0.968,1.0,0.966,0.718,2.08,0.991,1.0,1.0,1.0,1.0,1.0,0.978,-22659.0,291499.0,-0.078,0.0,0.09,0.153,1.131,-40437.887,-7959.127,-524.7471,0.919,0.991
normalized_1mzpB_M3.pdb,0.705,0.0,0.965,0.968,1.0,0.957,0.73,2.44,0.992,1.0,1.0,1.0,1.0,1.0,0.972,-22687.6,292196.0,-0.078,0.0,0.092,0.108,1.158,-40411.49,-7777.58,-530.1942,0.793,0.992
normalized_1mzpB_M16.pdb,0.712,0.0,0.978,0.968,1.0,0.978,0.728,3.95,0.989,1.0,1.0,1.0,1.0,1.0,0.973,-22592.0,291944.0,-0.077,0.0,0.091,0.165,1.088,-40472.594,-7848.833,-516.8661,0.945,0.989
normalized_1mzpB_M1.pdb,0.723,0.0,0.986,1.0,1.0,0.978,0.733,3.11,0.993,1.0,1.0,1.0,1.0,1.0,0.974,-22592.9,291784.0,-0.077,0.0,0.096,0.093,1.174,-40004.704,-7894.55,-524.3503,0.739,0.993
normalized_1mzpB_M5.pdb,0.723,0.0,0.95,0.968,0.943,0.946,0.761,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.981,-22487.9,292795.0,-0.077,0.0,0.091,0.219,1.116,-40320.568,-7905.51,-522.0151,0.947,0.99
normalized_1mzpB_M2.pdb,0.727,0.0,0.964,0.968,1.0,0.956,0.755,2.97,0.987,1.0,1.0,1.0,1.0,1.0,0.975,-22674.4,291521.0,-0.078,0.0,0.096,0.103,1.167,-40229.941,-7872.435,-528.42017,0.749,0.987
normalized_1mzpB_M9.pdb,0.728,0.0,0.978,0.968,1.0,0.977,0.744,1.84,0.976,1.0,1.0,1.0,1.0,1.0,0.977,-22700.4,292283.0,-0.078,0.0,0.092,0.092,1.18,-40813.529,-8011.933,-525.35364,0.948,0.976
normalized_1mzpB_M11.pdb,0.733,0.0,0.978,0.968,1.0,0.978,0.749,3.46,0.981,1.0,1.0,1.0,1.0,1.0,0.97,-22371.0,292340.0,-0.077,0.0,0.095,0.15,1.089,-40380.034,-7867.03,-526.40393,0.942,0.981
normalized_1mzpB_M10.pdb,0.734,0.0,0.964,0.968,1.0,0.956,0.762,2.59,0.985,1.0,1.0,1.0,1.0,1.0,0.978,-22571.9,293118.0,-0.077,0.0,0.091,0.231,1.124,-40629.153,-7873.886,-523.31537,0.945,0.985
normalized_1mzpB_M21.pdb,0.765,0.0,0.949,0.968,0.943,0.944,0.806,5.81,0.985,1.0,1.0,1.0,1.0,1.0,0.968,-22249.4,291817.0,-0.076,0.0,0.091,0.296,1.04,-40320.406,-7761.634,-517.6834,0.939,0.985
normalized_1mzpB_M15.pdb,0.795,0.0,0.934,0.968,1.0,0.909,0.85,6.49,0.971,1.0,1.0,1.0,1.0,1.0,0.965,-21991.7,292684.0,-0.075,0.0,0.094,0.421,1.042,-40051.508,-7598.199,-515.93384,0.934,0.971
normalized_1mzpB_M18.pdb,0.806,0.0,0.942,0.968,0.943,0.934,0.855,7.22,0.978,1.0,1.0,1.0,1.0,1.0,0.965,-21497.0,292265.0,-0.074,0.0,0.096,0.345,1.054,-39575.189,-7770.365,-518.53845,0.898,0.978
normalized_1mzpB_M8.pdb,0.808,0.0,0.941,0.935,1.0,0.932,0.858,4.66,0.988,1.0,1.0,1.0,1.0,1.0,0.966,-21433.2,291311.0,-0.074,0.0,0.096,0.368,1.065,-39507.667,-7706.22,-514.7473,0.741,0.988
normalized_1mzpB_M17.pdb,0.811,0.0,0.896,0.935,0.889,0.884,0.906,5.09,0.972,1.0,1.0,1.0,1.0,1.0,0.967,-21906.4,292035.0,-0.075,0.0,0.095,0.462,1.022,-39661.47,-7709.33,-518.1272,0.936,0.972
