,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,RNA3DCNN,lddt,tm-score-ost
normalized_2gisA.pdb,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-44386.3,577931.0,-0.077,0.0,0.0,0.0,2.522,-78924.242,-12641.165,-928.14417,1.0,1.0
normalized_2gisA_M2.pdb,0.694,0.0,0.949,1.0,0.866,0.937,0.731,1.55,0.999,1.0,1.0,1.0,1.0,1.0,0.979,-43031.5,576486.0,-0.075,0.0,0.092,0.097,2.459,-75058.859,-11967.112,-927.44135,0.901,0.999
normalized_2gisA_M3.pdb,0.706,0.0,0.954,1.0,0.866,0.945,0.74,2.13,0.998,1.0,1.0,1.0,1.0,1.0,0.977,-42936.5,577142.0,-0.074,0.0,0.093,0.105,2.433,-74821.477,-11820.504,-924.45325,0.84,0.998
normalized_2gisA_M1.pdb,0.709,0.0,0.954,1.0,0.866,0.943,0.743,2.08,0.998,1.0,1.0,1.0,1.0,1.0,0.974,-42719.1,577207.0,-0.074,0.0,0.093,0.102,2.464,-74992.584,-11836.324,-930.4335,0.821,0.998
normalized_2gisA_M6.pdb,0.718,0.0,0.967,1.0,0.866,0.964,0.742,1.38,0.999,1.0,1.0,1.0,1.0,1.0,0.978,-43331.0,575868.0,-0.075,0.0,0.086,0.069,2.47,-75587.949,-12030.813,-927.34906,0.94,0.999
normalized_2gisA_M4.pdb,0.73,0.0,0.968,1.0,0.866,0.965,0.754,1.1,1.0,1.0,1.0,1.0,1.0,1.0,0.978,-43282.9,576648.0,-0.075,0.0,0.089,0.089,2.449,-75466.103,-11891.713,-928.6217,0.95,1.0
normalized_2gisA_M9.pdb,0.743,0.0,0.909,0.967,0.668,0.911,0.817,2.5,0.998,1.0,1.0,1.0,1.0,1.0,0.969,-42068.2,576597.0,-0.073,0.0,0.088,0.495,2.296,-74682.568,-11693.797,-916.5313,0.864,0.998
normalized_2gisA_M12.pdb,0.771,0.0,0.926,1.0,0.791,0.908,0.833,4.08,0.995,1.0,1.0,1.0,1.0,1.0,0.972,-42295.2,577488.0,-0.073,0.0,0.094,0.287,2.372,-74578.102,-11532.624,-923.7642,0.943,0.995
normalized_2gisA_M7.pdb,0.803,0.0,0.93,1.0,0.707,0.921,0.864,2.41,0.998,1.0,1.0,1.0,1.0,1.0,0.975,-42507.1,577770.0,-0.074,0.0,0.094,0.324,2.464,-74986.796,-11778.79,-926.38074,0.945,0.998
normalized_2gisA_M11.pdb,0.806,0.0,0.972,1.0,0.866,0.972,0.829,3.18,0.997,1.0,1.0,1.0,1.0,1.0,0.974,-42923.7,575300.0,-0.075,0.0,0.089,0.126,2.401,-75199.681,-11952.628,-923.72845,0.878,0.997
normalized_2gisA_M13.pdb,0.849,0.0,0.945,0.984,0.875,0.937,0.898,3.62,0.996,1.0,1.0,1.0,1.0,1.0,0.968,-42496.0,576125.0,-0.074,0.0,0.09,0.302,2.301,-75030.026,-11741.108,-917.53107,0.943,0.996
normalized_2gisA_M5.pdb,0.851,0.0,0.918,0.984,0.707,0.915,0.927,1.93,0.997,1.0,1.0,1.0,1.0,1.0,0.977,-42761.2,577347.0,-0.074,0.0,0.096,0.316,2.395,-74772.057,-11775.184,-924.86383,0.928,0.997
normalized_2gisA_M8.pdb,0.856,0.0,0.882,0.967,0.668,0.868,0.971,2.39,0.998,1.0,1.0,1.0,1.0,1.0,0.966,-41571.5,577206.0,-0.072,0.0,0.094,0.563,2.259,-74003.508,-11369.734,-919.0587,0.934,0.998
