,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,RNA3DCNN,lddt,tm-score-ost
1jidB.pdb,0.0,1.1102230246251563e-16,1.0,1.0,,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-14685.4,87631.0,-0.168,0.0,0.0,0.0,1.292,-18659.813,-5022.218,,,
normalized_1jidB_M1.pdb,,,0.361,0.0,,0.538,,,0.0,0.0,0.0,0.0,0.0,0.0,,-14014.2,87036.0,-0.161,0.0,,,1.205,-17123.899,-4290.545,-205.3533172607422,0.591,0.808
normalized_1jidB_M10.pdb,,,0.291,0.0,,0.459,,,0.0,0.0,0.0,0.0,0.0,0.0,,-13165.8,88034.0,-0.15,0.0,,,0.983,-16394.976,-4018.462,-205.21588134765625,0.652,0.628
normalized_1jidB_M100.pdb,,,0.306,0.0,,0.464,,,0.0,0.0,0.0,0.0,0.0,0.0,,-8743.68,90293.0,-0.097,0.0,,,0.571,-13795.99,-3033.968,-192.3431701660156,0.636,0.165
normalized_1jidB_M101.pdb,,,0.291,0.0,,0.429,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7996.7,91568.0,-0.087,0.0,,,0.506,-13404.49,-3042.077,-194.6571350097656,0.609,0.224
normalized_1jidB_M102.pdb,,,0.199,0.0,,0.277,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7074.08,88582.0,-0.08,0.0,,,0.231,-12760.73,-2501.457,-183.5432891845703,0.563,0.215
normalized_1jidB_M103.pdb,,,0.232,0.0,,0.344,,,0.0,0.0,0.0,0.0,0.0,0.0,,-8221.06,86448.0,-0.095,0.0,,,0.507,-13143.54,-2832.908,-206.3358154296875,0.624,0.326
normalized_1jidB_M104.pdb,,,0.256,0.0,,0.368,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7457.12,84193.0,-0.089,0.0,,,0.352,-12329.142,-2654.813,-201.38072204589844,0.575,0.215
normalized_1jidB_M105.pdb,,,0.256,0.0,,0.355,,,0.0,0.0,0.0,0.0,0.0,0.0,,-8064.56,87203.0,-0.092,0.0,,,0.536,-13143.892,-2497.053,-208.99002075195312,0.596,0.211
normalized_1jidB_M106.pdb,,,0.24,0.0,,0.363,,,0.0,0.0,0.0,0.0,0.0,0.0,,-6454.55,85917.0,-0.075,0.0,,,0.335,-12461.483,-2359.048,-185.24456787109372,0.556,0.181
normalized_1jidB_M107.pdb,,,0.208,0.0,,0.318,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7789.6,82957.0,-0.094,0.0,,,0.563,-12608.583,-2612.691,-199.52078247070312,0.593,0.231
normalized_1jidB_M108.pdb,,,0.291,0.0,,0.445,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7455.63,90861.0,-0.082,0.0,,,0.482,-13324.837,-2924.037,-198.8640289306641,0.597,0.254
normalized_1jidB_M109.pdb,,,0.317,0.0,,0.445,,,0.0,0.0,0.0,0.0,0.0,0.0,,-8805.97,89585.0,-0.098,0.0,,,0.452,-13706.822,-3077.094,-194.59120178222656,0.61,0.251
normalized_1jidB_M11.pdb,,,0.322,0.0,,0.474,,,0.0,0.0,0.0,0.0,0.0,0.0,,-13663.1,87719.0,-0.156,0.0,,,1.104,-16640.086,-4151.154,-198.64352416992188,0.768,0.668
normalized_1jidB_M110.pdb,,,0.225,0.0,,0.346,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7128.04,82958.0,-0.086,0.0,,,0.555,-12387.835,-2574.94,-196.2093048095703,0.595,0.25
normalized_1jidB_M111.pdb,,,0.219,0.0,,0.346,,,0.0,0.0,0.0,0.0,0.0,0.0,,-8069.0,86456.0,-0.093,0.0,,,0.474,-13142.612,-2914.129,-212.57041931152344,0.612,0.274
normalized_1jidB_M112.pdb,,,0.31,0.0,,0.459,,,0.0,0.0,0.0,0.0,0.0,0.0,,-10143.7,88344.0,-0.115,0.0,,,0.558,-13973.802,-3392.026,-196.76443481445312,0.581,0.231
normalized_1jidB_M113.pdb,,,0.317,0.0,,0.459,,,0.0,0.0,0.0,0.0,0.0,0.0,,-8230.4,87538.0,-0.094,0.0,,,0.37,-13430.628,-2776.254,-218.9691162109375,0.588,0.217
normalized_1jidB_M114.pdb,,,0.288,0.0,,0.435,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7885.37,88506.0,-0.089,0.0,,,0.471,-12972.224,-2810.174,-198.13121032714844,0.585,0.199
normalized_1jidB_M115.pdb,,,0.238,0.0,,0.334,,,0.0,0.0,0.0,0.0,0.0,0.0,,-6624.87,89943.0,-0.074,0.0,,,0.338,-12775.725,-2500.114,-213.84698486328125,0.549,0.196
normalized_1jidB_M116.pdb,,,0.324,0.0,,0.474,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7738.82,83577.0,-0.093,0.0,,,0.517,-12833.331,-2539.635,-206.7891845703125,0.569,0.272
normalized_1jidB_M117.pdb,,,0.203,0.0,,0.307,,,0.0,0.0,0.0,0.0,0.0,0.0,,-6420.08,92007.0,-0.07,0.0,,,0.572,-13497.538,-3212.085,-219.52964782714844,0.616,0.271
normalized_1jidB_M118.pdb,,,0.284,0.0,,0.429,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7716.16,81492.0,-0.095,0.0,,,0.562,-12445.677,-2583.061,-202.17916870117188,0.585,0.254
normalized_1jidB_M119.pdb,,,0.162,0.0,,0.237,,,0.0,0.0,0.0,0.0,0.0,0.0,,-6754.51,88093.0,-0.077,0.0,,,0.338,-12900.04,-2718.093,-197.97848510742188,0.571,0.191
normalized_1jidB_M12.pdb,,,0.393,0.0,,0.564,,,0.0,0.0,0.0,0.0,0.0,0.0,,-13389.8,87120.0,-0.154,0.0,,,0.913,-16324.063,-3892.775,-205.38023376464844,0.584,0.728
normalized_1jidB_M120.pdb,,,0.198,0.0,,0.318,,,0.0,0.0,0.0,0.0,0.0,0.0,,-6703.85,95389.0,-0.07,0.0,,,0.542,-13542.601,-2892.04,-205.5595550537109,0.594,0.221
normalized_1jidB_M121.pdb,,,0.219,0.0,,0.346,,,0.0,0.0,0.0,0.0,0.0,0.0,,-5263.64,89896.0,-0.059,0.0,,,0.353,-12194.732,-2505.496,-188.81332397460935,0.539,0.147
normalized_1jidB_M122.pdb,,,0.256,0.0,,0.382,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7550.39,86067.0,-0.088,0.0,,,0.551,-12620.033,-2657.764,-204.31756591796875,0.57,0.205
normalized_1jidB_M123.pdb,,,0.243,0.0,,0.355,,,0.0,0.0,0.0,0.0,0.0,0.0,,-6459.49,79731.0,-0.081,0.0,,,0.502,-12644.999,-2610.49,-196.04586791992188,0.576,0.179
normalized_1jidB_M124.pdb,,,0.277,0.0,,0.389,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7450.91,76042.0,-0.098,0.0,,,0.403,-11695.785,-2369.239,-201.47593688964844,0.565,0.169
normalized_1jidB_M125.pdb,,,0.192,0.0,,0.29,,,0.0,0.0,0.0,0.0,0.0,0.0,,-6599.46,82309.0,-0.08,0.0,,,0.449,-12129.736,-2604.68,-199.5738677978516,0.528,0.267
normalized_1jidB_M126.pdb,,,0.238,0.0,,0.334,,,0.0,0.0,0.0,0.0,0.0,0.0,,-6617.97,82877.0,-0.08,0.0,,,0.338,-12244.178,-2450.996,-196.90321350097656,0.576,0.132
normalized_1jidB_M127.pdb,,,0.131,0.0,,0.199,,,0.0,0.0,0.0,0.0,0.0,0.0,,-5307.92,92595.0,-0.057,0.0,,,0.377,-12453.28,-2711.302,-199.9911346435547,0.552,0.208
normalized_1jidB_M128.pdb,,,0.249,0.0,,0.382,,,0.0,0.0,0.0,0.0,0.0,0.0,,-7448.15,82217.0,-0.091,0.0,,,0.532,-12473.485,-2571.074,-198.90655517578125,0.604,0.224
normalized_1jidB_M129.pdb,,,0.243,0.0,,0.355,,,0.0,0.0,0.0,0.0,0.0,0.0,,-6198.65,89327.0,-0.069,0.0,,,0.304,-12378.602,-2405.384,-198.39602661132807,0.569,0.187
normalized_1jidB_M13.pdb,,,0.351,0.0,,0.513,,,0.0,0.0,0.0,0.0,0.0,0.0,,-13619.6,87917.0,-0.155,0.0,,,1.011,-16405.476,-4049.104,-198.47080993652344,0.577,0.577
normalized_1jidB_M130.pdb,,,0.208,0.0,,0.296,,,0.0,0.0,0.0,0.0,0.0,0.0,,-6724.58,81973.0,-0.082,0.0,,,0.519,-12231.959,-2270.841,-211.36114501953125,0.585,0.194
normalized_1jidB_M131.pdb,,,0.288,0.0,,0.415,,,0.0,0.0,0.0,0.0,0.0,0.0,,-5899.63,86879.0,-0.068,0.0,,,0.377,-12345.914,-2660.092,-199.8311309814453,0.559,0.162
normalized_1jidB_M132.pdb,,,0.27,0.0,,0.397,,,0.0,0.0,0.0,0.0,0.0,0.0,,-6921.44,80619.0,-0.086,0.0,,,0.434,-12248.656,-2455.8,-218.50718688964844,0.582,0.211
normalized_1jidB_M133.pdb,,,0.161,0.0,,0.229,,,0.0,0.0,0.0,0.0,0.0,0.0,,-5021.7,94894.0,-0.053,0.0,,,0.291,-12174.165,-2726.978,-186.1463165283203,0.534,0.161
normalized_1jidB_M134.pdb,,,0.199,0.0,,0.306,,,0.0,0.0,0.0,0.0,0.0,0.0,,-5360.37,89915.0,-0.06,0.0,,,0.349,-12498.361,-2504.144,-200.8003692626953,0.54,0.127
