,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-SCORE,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lddt,tm-score-ost
normalized_6JQ6.pdb,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-31697.0,400287.0,-0.079,0.0,0.0,0.0,1.775,-54440.667,-9021.05,1.0,1.0
normalized_3dRNA-6JQ6-5.pdb,15.989,1.0180756959687898e-08,0.507,0.728,0.0,0.484,31.537,47.36,0.221,0.25,0.099,0.185,0.284,0.432,0.546,6233.93,584743.0,0.011,0.0,1.635,1.962,0.831,-46120.433,-4888.479,0.228,0.258
normalized_3dRNA-6JQ6-10.pdb,16.537,5.661098900766604e-08,0.578,0.858,0.0,0.523,28.59,44.16,0.255,0.287,0.148,0.247,0.296,0.457,0.592,-9761.25,389535.0,-0.025,0.0,1.68,1.703,0.969,-38962.256,-3253.632,0.295,0.273
normalized_3dRNA-6JQ6-1.pdb,17.836,2.2958976164111355e-06,0.503,0.692,0.0,0.509,35.443,,0.216,0.244,0.086,0.173,0.296,0.42,0.529,-3045.45,553262.0,-0.006,0.0,1.822,2.025,0.815,-48189.252,-5174.448,0.212,0.245
normalized_FARFAR2-6JQ6-S_000001_185_0001.pdb,17.942,3.04057835670557e-06,0.672,0.839,0.0,0.677,26.713,23.43,0.246,0.293,0.148,0.272,0.296,0.457,0.671,-45404.4,399653.0,-0.114,0.0,1.941,1.638,1.935,-59816.406,-8757.137,0.501,0.251
normalized_3dRNA-6JQ6-7.pdb,18.085,4.41652554977745e-06,0.55,0.797,0.267,0.484,32.868,43.59,0.194,0.225,0.086,0.148,0.259,0.407,0.564,848.562,551751.0,0.002,0.0,1.866,1.826,0.724,-47657.05,-5562.658,0.18,0.201
normalized_3dRNA-6JQ6-3.pdb,18.269,7.061083186099548e-06,0.464,0.764,0.0,0.392,39.346,44.4,0.243,0.275,0.111,0.198,0.333,0.457,0.52,-772.327,542172.0,-0.001,0.0,1.875,1.853,0.835,-45753.101,-5568.085,0.137,0.269
normalized_SimRNA-6JQ6-6.pdb,18.583,1.5406901649916982e-05,0.649,0.724,0.0,0.673,28.644,29.68,0.232,0.287,0.148,0.21,0.296,0.494,0.649,-42653.1,335799.0,-0.127,0.0,1.929,1.84,1.744,-51003.729,-5489.146,0.031,0.306
normalized_FARFAR2-6JQ6-S_000001_169_0001.pdb,18.786,2.510792788690264e-05,0.728,0.855,0.0,0.744,25.799,23.21,0.237,0.287,0.148,0.247,0.296,0.457,0.687,-44220.1,379868.0,-0.116,0.0,1.936,1.532,1.807,-58224.934,-8476.72,0.5,0.282
normalized_3dRNA-6JQ6-8.pdb,18.92,3.441224167333168e-05,0.581,0.918,0.0,0.517,32.565,39.76,0.277,0.293,0.111,0.235,0.383,0.444,0.602,-16867.5,334277.0,-0.05,0.0,1.93,1.63,1.063,-41268.51,-4089.388,0.406,0.29
